1.90935 0.774461 1.47872 1.90935 0.981559 1.87414 1.87414
1.93 0.759875 1.46656 1.93 0.952592 1.83851 1.83851
1.95082 0.745721 1.45477 1.95082 0.924652 1.80383 1.80383
1.97179 0.731982 1.44332 1.97179 0.897725 1.77013 1.77013
1.99292 0.718645 1.4322 1.99292 0.871801 1.73743 1.73743
2.0142 0.705694 1.42141 2.0142 0.846865 1.70576 1.70576
2.03563 0.693116 1.41093 2.03563 0.8229 1.67512 1.67512
2.05721 0.680898 1.40075 2.05721 0.799891 1.64554 1.64554
2.07892 0.669027 1.39086 2.07892 0.777817 1.61702 1.61702
2.10078 0.657491 1.38124 2.10078 0.75666 1.58957 1.58957
2.12277 0.646278 1.3719 2.12277 0.736398 1.5632 1.5632
2.14489 0.635377 1.36281 2.14489 0.717009 1.5379 1.5379
2.16714 0.624778 1.35398 2.16714 0.69847 1.51368 1.51368
2.18952 0.614469 1.34539 2.18952 0.680757 1.49053 1.49053
2.21202 0.604442 1.33703 2.21202 0.663845 1.46844 1.46844
2.23463 0.594686 1.3289 2.23463 0.647709 1.44739 1.44739
2.25737 0.585193 1.32099 2.25737 0.632323 1.42738 1.42738
2.28021 0.575953 1.31329 2.28021 0.617659 1.40839 1.40839
2.30316 0.566959 1.3058 2.30316 0.603691 1.3904 1.3904
2.32622 0.558203 1.2985 2.32622 0.59039 1.37338 1.37338
2.34938 0.549675 1.2914 2.34938 0.57773 1.35731 1.35731
2.37264 0.54137 1.28448 2.37264 0.565682 1.34216 1.34216
2.39599 0.533281 1.27773 2.39599 0.554218 1.3279 1.3279
2.41943 0.525399 1.27117 2.41943 0.543311 1.3145 1.3145
2.44296 0.517718 1.26477 2.44296 0.532932 1.30193 1.30193
2.46657 0.510233 1.25853 2.46657 0.523054 1.29015 1.29015
2.49027 0.502937 1.25245 2.49027 0.513649 1.27912 1.27912
2.51404 0.495823 1.24652 2.51404 0.504691 1.26881 1.26881
2.53788 0.488887 1.24074 2.53788 0.496153 1.25918 1.25918
